,precision,recall,f1-score,support
b'\xc7\x9e',1.0,0.14912280701754385,0.2595419847328244,228.0
b'\xc7\xa1',0.0,0.0,0.0,17.0
b'\xc7\xa2',0.0,0.0,0.0,17.0
b'\xc7\xa3',0.0,0.0,0.0,16.0
b'\xc7\xa4',0.0,0.0,0.0,16.0
b'\xc7\xa5',0.0,0.0,0.0,16.0
b'\xc7\xa6',0.0,0.0,0.0,16.0
b'\xc7\xa7',0.0,0.0,0.0,1.0
b'\xc7\xa8',0.0,0.0,0.0,15.0
b'\xc7\xa9',0.0,0.0,0.0,7.0
b'\xc7\xaa',0.0,0.0,0.0,14.0
b'\xc7\xab',0.0,0.0,0.0,16.0
b'\xc7\xac',0.0,0.0,0.0,15.0
b'\xc7\xaf',0.0,0.0,0.0,15.0
b'\xc7\xb0',0.0,0.0,0.0,15.0
b'\xc7\xb1',0.0,0.0,0.0,14.0
b'\xc7\xb2',0.0,0.0,0.0,14.0
b'\xc7\xb9',0.0,0.0,0.0,15.0
b'\xc7\xba',0.0,0.0,0.0,15.0
b'\xc7\xbb',0.0,0.0,0.0,15.0
b'\xc7\xbc',0.0,0.0,0.0,5.0
b'\xc8\x82',0.0,0.0,0.0,3.0
b'\xc8\x88',0.0,0.0,0.0,158.0
b'\xc8\x89',0.0,0.0,0.0,5.0
b'\xc8\x8a',0.0,0.0,0.0,3.0
b'\xc8\x8b',0.0,0.0,0.0,5.0
b'\xc8\x8c',0.0,0.0,0.0,1.0
b'\xc8\x8d',0.0,0.0,0.0,1.0
b'\xc8\x8e',0.0,0.0,0.0,1.0
b'\xc8\x8f',0.0,0.0,0.0,1.0
b'\xc8\x90',0.0,0.0,0.0,1.0
b'\xc8\x91',0.0,0.0,0.0,1.0
b'\xc8\x92',0.0,0.0,0.0,1.0
b'\xc8\x93',0.0,0.0,0.0,1.0
b'\xc8\x94',0.0,0.0,0.0,1.0
b'\xc8\x95',0.0,0.0,0.0,1.0
b'\xc8\x96',0.0,0.0,0.0,1.0
b'\xc8\x97',0.0,0.0,0.0,1.0
b'\xc8\x98',0.0,0.0,0.0,1.0
b'\xc8\x99',0.0,0.0,0.0,1.0
b'\xc8\x9b',0.0,0.0,0.0,1.0
b'\xc8\x9d',0.0,0.0,0.0,1.0
accuracy,0.06340183646698731,0.06340183646698731,0.06340183646698731,0.06340183646698731
macro avg,0.05252640860582545,0.011869062362997162,0.017889145261501548,13722.0
weighted avg,0.2710060525075335,0.06340183646698731,0.0945985029581102,13722.0
